Group,Group Size,CompositeId
"[Extract Method, Extract Method, Rename Parameter]",1,[825]
"[Change Parameter Type, Extract Class, Move Attribute, Move Attribute, Move Attribute, Move Method, Move Method, Move Method, Move Method, Move Method, Rename Method, Rename Parameter, Rename Variable]",1,[27]
"[Change Attribute Type, Change Attribute Type, Change Parameter Type, Change Parameter Type, Change Return Type, Change Return Type, Change Return Type, Change Variable Type, Change Variable Type, Change Variable Type, Extract Method, Extract Method, Inline Method, Inline Method, Inline Method, Merge Attribute, Merge Attribute, Move Method, Move Method, Rename Attribute, Rename Attribute, Rename Attribute, Rename Attribute, Rename Method, Rename Method, Rename Method, Rename Parameter, Rename Parameter, Rename Parameter, Rename Variable, Rename Variable, Split Attribute, Split Attribute, Split Attribute]",1,[842]
"[Change Attribute Type, Change Parameter Type, Extract Method, Move Class]",1,[1135]
"[Extract Class, Extract Variable, Move Class, Move Method]",1,[632]
"[Extract Method, Move Method]",1,[1343]
"[Change Attribute Type, Change Parameter Type, Change Return Type, Extract Class, Extract Class, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method]",1,[36]
"[Change Attribute Type, Move Class, Move Method]",1,[1134]
"[Move Attribute, Move Attribute, Move Class, Move Class, Move Method, Move Method, Move Method]",1,[368]
"[Extract Class, Move Attribute, Move Attribute, Move Attribute, Move Attribute, Move Attribute, Move Class, Move Method, Move Method, Move Method, Move Method, Move Method, Rename Class]",1,[424]
"[Change Parameter Type, Change Parameter Type, Change Variable Type, Change Variable Type, Change Variable Type, Change Variable Type, Change Variable Type, Change Variable Type, Change Variable Type, Change Variable Type, Change Variable Type, Change Variable Type, Change Variable Type, Change Variable Type, Extract Method, Extract Method, Extract Method, Extract Variable, Rename Method, Rename Parameter, Rename Parameter, Rename Variable, Rename Variable, Rename Variable, Rename Variable, Rename Variable, Rename Variable, Rename Variable, Rename Variable, Rename Variable, Rename Variable, Rename Variable, Rename Variable, Rename Variable, Rename Variable, Rename Variable, Rename Variable, Rename Variable, Rename Variable]",1,[15]
"[Extract Method, Extract Method]",2,"[243, 1228]"
"[Extract Subclass, Extract Variable, Move Class, Move Method, Push Down Attribute, Push Down Attribute, Push Down Attribute, Push Down Attribute, Push Down Attribute, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method]",1,[681]
"[Change Return Type, Change Variable Type, Change Variable Type, Change Variable Type, Change Variable Type, Extract Class, Extract Class, Extract Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Rename Variable, Rename Variable, Rename Variable, Rename Variable]",1,[428]
"[Change Attribute Type, Change Variable Type, Change Variable Type, Extract Method]",1,[889]
"[Move Class, Move Method, Move Method]",1,[630]
"[Extract Class, Move Class, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method]",1,[1143]
"[Change Parameter Type, Change Parameter Type, Change Return Type, Extract Method, Inline Method, Move Attribute, Parameterize Variable, Rename Attribute, Rename Method, Rename Method, Rename Method, Rename Parameter, Rename Parameter, Rename Variable, Replace Variable With Attribute]",1,[708]
"[Change Attribute Type, Change Attribute Type, Move Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method]",1,[695]
"[Change Attribute Type, Change Attribute Type, Change Return Type, Change Return Type, Move Class, Move Method, Move Method, Move Method, Move Method, Rename Attribute, Rename Method, Rename Method, Rename Method]",1,[617]
"[Change Attribute Type, Change Attribute Type, Change Attribute Type, Change Attribute Type, Change Parameter Type, Change Parameter Type, Change Parameter Type, Change Parameter Type, Change Parameter Type, Change Parameter Type, Change Parameter Type, Change Parameter Type, Change Variable Type, Change Variable Type, Change Variable Type, Change Variable Type, Change Variable Type, Extract Method, Rename Attribute, Rename Method, Rename Parameter, Rename Parameter, Rename Parameter, Rename Parameter, Rename Parameter, Rename Parameter, Rename Parameter, Rename Parameter, Rename Variable, Rename Variable, Rename Variable, Rename Variable]",1,[730]
"[Change Variable Type, Change Variable Type, Extract Method, Extract Method, Extract Variable, Rename Variable, Rename Variable, Rename Variable, Rename Variable]",1,[921]
"[Change Attribute Type, Extract Method]",1,[997]
"[Change Attribute Type, Change Attribute Type, Change Parameter Type, Extract Class, Extract Subclass, Move Attribute, Move Attribute, Move Attribute, Move Method, Move Method, Push Down Attribute, Push Down Attribute, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Rename Attribute]",1,[1154]
"[Extract Method, Extract Method, Inline Variable, Inline Variable, Move Class]",1,[951]
"[Extract Class, Extract Method, Extract Method, Move Class, Move Method, Move Method]",1,[676]
"[Change Variable Type, Move Class, Move Method, Move Method, Move Method, Rename Attribute, Rename Attribute, Rename Method, Rename Variable, Rename Variable, Rename Variable]",1,[317]
"[Extract Class, Extract Subclass, Move Attribute, Move Attribute, Move Class, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Push Down Attribute, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method]",1,[1132]
"[Extract Method, Inline Variable]",1,[1253]
"[Extract Subclass, Move Class, Move Method, Move Method, Push Down Attribute, Push Down Attribute, Push Down Attribute, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method, Push Down Method]",1,[1131]
"[Extract Method, Extract Method, Move Method, Move Method]",1,[1346]
